City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,hamilton,39.1834,-84.5333,13.76,53,0,6.69,US,1701978388
121,dwarka,22.2394,68.9678,23.15,60,0,4.43,IN,1701978479
122,salekhard,66.53,66.6019,-22.53,87,100,3.74,RU,1701978628
123,lionel town,17.8101,-77.2406,31.94,63,61,2.27,JM,1701978628
124,cushing,35.9851,-96.767,22.06,37,0,8.75,US,1701978628
125,canutama,-6.5339,-64.3831,30.41,61,98,1.46,BR,1701978629
126,new norfolk,-42.7826,147.0587,12.72,70,100,0.99,AU,1701978629
127,alice springs,-23.7,133.8833,23.75,69,1,3.09,AU,1701978629
128,san cristobal,7.7669,-72.225,27.1,36,100,1.66,VE,1701978629
129,ebon,4.582,168.6964,28.05,81,88,8.39,MH,1701978629
130,porto franco,-6.3383,-47.3992,32.56,46,72,3.46,BR,1701978629
131,ust-nera,64.5667,143.2,-35.75,90,100,1.4,RU,1701978630
132,ulsteinvik,62.3432,5.8487,1.84,77,2,3.58,NO,1701978630
133,hadibu,12.65,54.0333,25.04,68,95,6.36,YE,1701978630
134,inhambane,-23.865,35.3833,25.0,88,75,0.0,MZ,1701978631
135,pangody,65.85,74.4859,-20.7,98,100,5.65,RU,1701978631
136,kijang,35.2442,129.2139,0.85,66,0,3.37,KR,1701978631
137,klaksvik,62.2266,-6.589,6.51,79,99,13.15,FO,1701978631
138,rosa zarate,0.3333,-79.4667,27.79,79,94,1.95,EC,1701978632
139,orcopampa,-15.2661,-72.3417,16.82,43,100,4.48,PE,1701978632
140,suez,29.9737,32.5263,17.86,51,100,2.67,EG,1701978632
141,kailua-kona,19.6406,-155.9956,26.95,76,40,1.54,US,1701978632
142,anadyr,64.75,177.4833,-20.72,77,4,13.0,RU,1701978633
143,port mathurin,-19.6833,63.4167,25.86,77,6,3.67,MU,1701978354
144,qahderijan,32.5767,51.455,2.53,35,54,1.59,IR,1701978633
145,piti village,13.4626,144.6933,28.03,85,20,4.12,GU,1701978633
146,cabo san lucas,22.8909,-109.9124,31.45,45,0,1.79,MX,1701978629
147,aasiaat,68.7098,-52.8699,-12.01,88,100,1.67,GL,1701978634
148,kingscliff,-28.2667,153.5667,21.54,100,10,1.54,AU,1701978634
149,la passe,45.5549,-0.8967,12.21,95,100,4.37,FR,1701978634
150,papatowai,-46.5619,169.4708,14.33,54,98,5.0,NZ,1701978359
151,el calafate,-50.3408,-72.2768,16.54,42,33,2.68,AR,1701978634
152,sinabang,2.4803,96.3801,26.13,84,100,0.79,ID,1701978635
153,prainha,-1.8,-53.48,30.85,58,95,2.57,BR,1701978635
154,huanren,41.2647,125.3667,0.48,89,95,3.05,CN,1701978635
155,newman,37.3138,-121.0208,16.75,35,5,0.89,US,1701978346
156,petropavl,54.8753,69.1628,-33.39,99,7,2.27,KZ,1701978636
157,bredasdorp,-34.5322,20.0403,18.38,87,0,4.74,ZA,1701978636
158,jishui,33.7333,115.4,12.74,51,0,5.4,CN,1701978636
159,guerrero negro,27.9769,-114.0611,21.2,59,0,7.94,MX,1701978636
160,washington,47.5001,-120.5015,6.32,58,99,0.94,US,1701978552
161,hasaki,35.7333,140.8333,9.05,41,0,2.74,JP,1701978636
162,lepsy,46.235,78.9456,-3.68,39,100,4.67,KZ,1701978637
163,balkanabat,39.5108,54.3671,10.21,59,64,2.13,TM,1701978637
164,saint-felix-de-valois,46.1668,-73.4324,-9.42,71,93,1.14,CA,1701978637
165,hue,16.4667,107.6,22.06,88,75,1.03,VN,1701978637
166,codrington,-38.2667,141.9667,18.81,55,100,2.06,AU,1701978637
167,nar'yan-mar,67.6713,53.087,-14.38,96,100,3.58,RU,1701978638
168,yanchep,-31.55,115.6833,17.75,72,4,5.38,AU,1701978638
169,severo-yeniseyskiy,60.3725,93.0408,-31.9,93,96,1.34,RU,1701978638
170,susuman,62.7833,148.1667,-34.05,95,100,0.49,RU,1701978515
171,port moresby,-9.4431,147.1797,23.68,94,40,1.03,PG,1701978638
172,iskateley,67.6803,53.1512,-14.43,96,100,3.58,RU,1701978483
173,samdari,25.8167,72.5833,17.61,33,0,3.24,IN,1701978639
174,chinacota,7.6073,-72.6011,24.74,45,92,3.16,CO,1701978639
175,sinop,41.7711,34.8709,8.97,80,73,3.41,TR,1701978639
176,roma,43.2128,-75.4557,1.71,93,100,2.24,US,1701978561
177,bamboo flat,11.7,92.7167,25.05,94,8,1.03,IN,1701978639
178,molde,62.7375,7.1591,-3.45,79,0,3.6,NO,1701978639
179,ust'-kulom,61.6864,53.6902,-32.49,100,65,0.81,RU,1701978640
180,marechal candido rondon,-24.5561,-54.0567,25.26,88,93,0.86,BR,1701978640
181,rockport,28.0206,-97.0544,24.03,76,0,6.17,US,1701978640
182,greenfields,-33.0333,27.8622,22.27,87,50,4.9,ZA,1701978640
183,kinablangan,7.6947,126.5503,25.58,87,47,1.68,PH,1701978640
184,san lorenzo de esmeraldas,1.2883,-78.8369,27.13,83,85,3.97,EC,1701978640
185,kisangani,0.5167,25.2,21.92,98,59,0.95,CD,1701978641
186,kresek,-6.1314,106.3797,29.07,86,96,2.84,ID,1701978641
187,nuku'alofa,-21.1333,-175.2,24.19,94,20,0.51,TO,1701978641
188,yenotayevka,47.2456,47.0281,-1.6,64,91,7.65,RU,1701978641
189,remire-montjoly,4.9167,-52.2667,30.02,74,40,5.66,GF,1701978641
190,upper dir,35.2058,71.8756,8.43,32,99,2.49,PK,1701978641
191,uturoa,-16.7333,-151.4333,26.74,81,81,4.87,PF,1701978642
192,bratslav,48.8226,28.9407,-3.85,94,100,3.86,UA,1701978642
193,ocean shores,46.9737,-124.1563,10.53,88,20,3.6,US,1701978392
194,i-n-salah,27.1935,2.4607,19.57,31,37,4.87,DZ,1701978642
195,madera,37.1666,-119.8343,17.51,55,46,4.32,US,1701978642
196,swakopmund,-22.6833,14.5333,17.21,86,12,0.89,NA,1701978643
